image,before_psnr,after_psnr,before_ssim,after_ssim,before_uciqe,after_uciqe,before_uiqm,after_uiqm
111_img_.png,12.607556960166935,12.342382078831506,0.65687275,0.5611312,3.0648143,2.9895363,0.5212732321827533,0.5539378730386497
112_img_.png,16.73574163773709,17.91357767847054,0.6967903,0.87391305,3.1678817,3.203116,0.3595498651715762,0.4784348132436722
11374.png,19.812979032141193,22.69781749474822,0.8401095,0.9487497,5.416841,5.417125,0.5203126855788555,0.651525031408813
11398.png,19.65205876964996,21.835833369452274,0.8402936,0.9329677,8.483744,8.42408,0.6382580363137073,0.7296830585494026
113_img_.png,17.971893088173903,20.177074970116152,0.6917677,0.84563994,5.134965,5.132378,0.8110321782612865,0.7774752947432166
114_img_.png,14.206730945030984,13.118418396297574,0.6980915,0.73003834,4.954058,4.9377437,0.7525876350940474,0.7604853201418411
115_img_.png,20.983046459402402,18.87325674799976,0.80714935,0.6925871,4.611374,4.549598,0.4835154201613507,0.5835089722483192
116_img_.png,18.038442027899876,15.983617178810892,0.8935006,0.79478675,3.886709,3.840736,0.5896656937306448,0.8331378584975316
117_img_.png,16.782459258115757,18.479548381930556,0.70013124,0.88108283,3.45839,3.473817,0.4805920524216541,0.7675272096827627
118_img_.png,15.315175216544892,16.450028334032627,0.76891214,0.8241566,5.0519857,5.1028066,0.4050423993226162,0.6017316871424743
11_img_.png,28.371717406102096,17.028227098334625,0.97433585,0.64153904,8.46965,8.3562765,0.5884830554406665,0.7420649274835305
120_img_.png,14.523888699723669,16.249099306025297,0.5493458,0.8217373,3.9341989,3.9903784,0.3455895697719063,0.49691617830263723
